SERIAL;gmc_GOALt1;gmc_PLANt1;gmc_PROt1;gmc_MOTt1;gmc_VOLt1;gmc_SEt1
NM384333;-0,342281879;-1,744444444;-1,18696069;-0,624444444;-1,01;-0,873974646
NV617537;-1,092281879;-0,744444444;-1,18696069;-2,291111111;-1,51;0,126025354
NV651396;0,407718121;-1,744444444;2,527325024;-1,624444444;-0,76;-0,207307979
PA298545;-0,592281879;-1,744444444;1,81303931;2,375555556;-1,01;-1,096196868
PH647245;0,407718121;0,588888889;-0,615532119;0,375555556;0,74;0,68158091
PK111235;-0,592281879;-0,744444444;1,384467881;-1,291111111;-0,76;-1,207307979
PK497634;1,157718121;2,588888889;-2,18696069;1,708888889;1,24;-0,31841909
PN821564;-0,092281879;-1,744444444;1,098753595;-0,957777778;-1,26;-0,651752424
PQ466859;-0,092281879;-1,744444444;-1,901246405;-0,291111111;-0,51;0,792692021
PW785611;0,157718121;-1,411111111;2,098753595;1,375555556;-0,26;-0,762863535
PY333941;-1,842281879;-1,744444444;-2,472674976;-2,291111111;-0,51;0,903803132
PY378998;0,657718121;1,255555556;-0,758389262;-0,624444444;0,99;0,903803132
PY946565;1,157718121;0,588888889;-1,615532119;0,042222222;-1,51;-0,873974646
PZ846199;1,157718121;0,922222222;1,384467881;2,042222222;-0,01;0,792692021
QR394599;-0,592281879;-0,744444444;1,527325024;-1,291111111;-0,26;0,348247576
QT273771;0,657718121;-0,077777778;-0,18696069;-0,624444444;1,74;0,348247576
RA581334;0,157718121;-1,744444444;0,098753595;-1,957777778;-2,01;-1,31841909
RH615392;0,407718121;-0,744444444;1,670182167;-0,624444444;-0,01;1,792692021
RQ233693;-0,092281879;-1,744444444;1,384467881;-1,957777778;-0,51;0,903803132
RT652696;-0,342281879;-1,744444444;0,527325024;-0,624444444;0,24;-0,096196868
RV452633;-2,342281879;-0,744444444;1,81303931;-0,957777778;-1,26;-0,985085757
RW164757;0,657718121;0,255555556;-1,044103547;1,708888889;-0,26;-0,31841909
SE522452;0,407718121;-0,077777778;-0,329817833;0,375555556;-0,26;0,570469799
SE762113;0,157718121;0,255555556;-0,044103547;-0,291111111;0,99;0,570469799
SM631877;-0,092281879;1,255555556;-0,901246405;2,042222222;1,99;0,792692021
SN429438;-0,592281879;0,588888889;0,098753595;-0,291111111;0,24;0,237136465
SP553518;0,657718121;-0,077777778;1,527325024;1,375555556;1,49;0,570469799
SR175276;-1,842281879;-0,744444444;1,241610738;0,042222222;-0,76;-0,429530201
SS198481;-0,342281879;-0,744444444;-1,18696069;1,375555556;1,24;0,014914243
SW218242;0,407718121;1,588888889;-1,18696069;-0,957777778;-0,51;0,792692021
TB885956;0,157718121;-1,744444444;1,670182167;-0,291111111;0,24;1,014914243
TC332594;-0,592281879;1,255555556;-1,901246405;-1,291111111;-0,26;-0,429530201
TC633551;0,407718121;0,588888889;1,527325024;1,708888889;0,74;1,348247576
TG784124;-0,092281879;2,588888889;-1,329817833;0,708888889;0,24;-1,096196868
TN749971;NA;-0,077777778;NA;-1,624444444;-1,76;-0,540641312
TP544386;0,157718121;0,255555556;-1,472674976;0,375555556;0,24;0,570469799
UB531682;-0,842281879;-0,077777778;-2,329817833;-0,624444444;0,74;0,014914243
UL113513;-0,342281879;0,255555556;2,098753595;-0,624444444;-1,26;-0,096196868
UR157297;-0,092281879;0,588888889;-1,044103547;-0,624444444;-0,01;-1,207307979
UX896743;-0,092281879;-1,744444444;-0,758389262;-0,624444444;-0,26;0,459358688
UY881832;-0,092281879;-1,744444444;-0,615532119;0,375555556;-0,01;0,459358688
VB488197;0,407718121;-1,077777778;-0,901246405;-0,291111111;2,99;0,903803132
VC376826;1,657718121;0,588888889;0,670182167;-0,624444444;0,49;-0,429530201
VK722412;-0,342281879;-1,411111111;1,670182167;1,375555556;-0,26;-0,985085757
VN755488;-0,342281879;-0,411111111;-0,329817833;-0,291111111;-0,26;-0,096196868
VR815563;-0,092281879;-1,077777778;-0,901246405;1,375555556;-0,76;-0,31841909
VU521743;-0,092281879;-0,744444444;0,527325024;1,042222222;1,49;1,126025354
VX588246;0,907718121;-0,077777778;-0,758389262;0,708888889;-0,01;0,792692021
VY624531;-1,092281879;-0,744444444;1,955896453;-0,957777778;-1,01;-0,540641312
VZ398246;0,657718121;-1,744444444;1,384467881;-0,624444444;0,74;0,68158091
WC754144;1,657718121;1,922222222;0,527325024;1,708888889;0,49;NA
WG879246;-0,592281879;1,588888889;0,81303931;0,375555556;0,74;0,459358688
WN633269;-1,092281879;-0,744444444;1,098753595;-1,291111111;-0,76;0,126025354
