CASE;SERIAL;QUESTNNR;MODE;STARTED;LZ02_01;LZ03_01;LZ04_01;ZE02_01;ZE03_01;PL01_01;PL02_01;SM02_01;SM02_02;SM02_03;SE01_03;TE_Bel_1;TE_Bel_2;TE_Bel_3;TE_Bel_4;TE_Bel_5;TE_Bel_6;TE03_01;TE04_01;TE05_01;TE06_01;TE07_01;TE08_01;TE09_01;TE10_01;TE11_01;TE12_01;TE13_01;TE14_01;TE15_01;TE16;ZG01_CP;ZG01;ZG02_CP;ZG02;ZG03_CP;ZG03;ZG04_CP;ZG04;ZG05_CP;ZG05;AI01_pts;AI01_rgs;AI01_01;AI02_01;AI06_01;AI12_01;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME015;TIME016;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
3821;LF961829;TA03;interview;24.01.2021 10:41;#NAME?;5;4;0h;6h;1;ich habe keinen Zeitplan;4;2;3;5;3;1;1;5;1;1;4;0h;4h;-1;3;3;4;4;3;-1;#NAME?;1;2;1;288;7;273;6;268;1;238;4;126;1;;;;;4;;5;40;24;12;4;28328;3;19;21;25;36;1;3013;;1;478;24.01.2021 06:00;24.01.2021 19:26;1;0;16;16;0;0;Jan 21;18
3825;FY246884;TA03;interview;24.01.2021 10:52;#NAME?;6;4;0h;2h 30min;6;#NAME?;4;3;6;6;2;1;1;3;1;1;4;0h;1h;3;5;4;3;3;5;3;besser machen;1;4;1;290;6;273;7;267;1;236;3;126;2;;;;;6;;2;56;33;7;3;24976;2;13;13;18;25;2;813;;3;464;24.01.2021 06:00;24.01.2021 18:05;1;0;16;16;0;0;01. Mrz;20
3827;MB259846;TA03;interview;24.01.2021 10:54;Lernen (Entwicklungspsychologie und Erziehung);5;5;0h;6h;5;"Morgens: Aufräumen und Lernen, wenn ich es noch schaffe

Mittags/nachmittags: Lernen und Spazieren gehen

Abends: Lernen";5;5;3;5;6;1;1;3;1;3;5;0h;6h;6;1;5;5;4;5;4;Nicht stressen lassen;5;5;1;290;2;273;5;277;6;247;7;131;5;;;;;;;3;33;59;9;7;43301;2;12;12;15;23;2;617;;2;466;24.01.2021 06:00;24.01.2021 23:09;1;0;16;16;3;2;Jan 22;15
3828;UY881832;TA03;interview;24.01.2021 10:55;Mal schauen was kommt;6;3;0;0;1;Je nachdem, ob ich abends Zeit habe und Lust, mache ich etwss;1;1;1;6;1;1;1;6;1;6;-1;0;0;-1;1;6;6;6;1;-1;"SoWi Vorlesung
Forschungsmethoden
Allgemeinpsycho Übung";1;1;2;290;3;273;1;277;7;247;1;131;4;;;;;5;;3;19;37;8;5;43669;8;9;10;23;36;3;642;;2;450;24.01.2021 06:01;24.01.2021 23:16;1;0;16;16;0;0;Jan 17;13
3829;FE929218;TA03;interview;24.01.2021 10:57;Lernen;6;6;0 h;6h;6;"lernen
Pause
lernen";4;4;5;4;5;1;1;3;1;2;4;0h;5h30min;4;4;4;4;4;1;-1;;4;4;1;290;5;273;6;275;6;248;1;130;5;;;;;10;;5;12;47;7;6;38094;11;16;30;20;19;3;6521;;3;466;24.01.2021 06:00;24.01.2021 23:23;1;0;16;16;3;3;01. Apr;12
3830;SE762113;TA03;interview;24.01.2021 10:57;elektrotechnik machen und japanische kanjis lernen;6;4;0h;2-4h;3;einfach loslegen und gucken;1;1;5;4;;;;;;;;;;;;;;;;;;;;;290;3;273;7;;;;;;;;;;;;;12;17;21;4;4;;;;;;;;;;;58;24.01.2021 06:01;24.01.2021 10:58;0;0;5;5;0;0;Jan 62;37
3831;BC191415;TA03;interview;24.01.2021 10:58;"- 1 Statistik lernen
-1  Forschungsmethoden lernen
- 2 Entwp. lernen
- 2 EW lernen";5;5;0h;8h;5;"- 11 -12 : Forschungsmethoden
- 13:15 -15:15 Entwp.
- 16:15- 17:30 Statistik
- 17:30- 20:45: EW";4;2;5;4;5;1;1;3;2;2;2;0h;3h;3;2;5;5;2;5;4;niedrigere Ansprüche;5;3;1;290;4;273;4;269;2;238;5;127;2;;;;;7;;5;48;142;8;5;29730;4;22;42;26;29;2;307;;2;642;24.01.2021 06:00;24.01.2021 19:25;1;0;16;16;0;0;0.9;4
3832;UX896743;TA03;interview;24.01.2021 10:59;#NAME?;6;6;0h;4h;1;-;4;4;1;5;5;1;1;1;1;1;5;0h;4h;-1;1;5;5;5;3;5;#NAME?;1;1;1;290;2;273;2;264;1;233;2;125;7;;;;;5;;5;31;21;10;6;20758;4;8;12;12;17;1;275;;2;404;24.01.2021 06:01;24.01.2021 16:52;1;0;16;16;0;0;01. Mai;27
3837;EP831244;TA03;interview;24.01.2021 11:07;Eventuell eine mindmap;4;2;0h;2h;2;Entspannen;2;1;4;3;3;1;1;4;1;1;6;0h;2,5h;5;4;4;4;4;2;6;"Vorlesung 
Mindmap 11/6
Seminar";3;2;1;291;7;274;3;268;7;237;4;126;7;;;;;15;;2;23;26;23;32;26671;7;17;28;39;47;3;259;;1;480;24.01.2021 06:00;24.01.2021 18:40;1;0;16;16;0;0;01. Apr;13
3839;YN129325;TA03;interview;24.01.2021 11:09;EW und Allg. Psych Grundlagen;5;4;0;2h;1;-;4;4;3;5;4;1;1;6;5;1;3;0;2h;1;4;4;4;3;2;-1;kognition, allg. psych grundlagen;1;2;1;293;4;275;5;265;4;237;2;126;5;;;;;mind. 15 Mal;;6;34;25;10;5;21037;4452;18;29;47;44;2;1767;;2;513;24.01.2021 06:01;24.01.2021 18:47;1;0;16;16;0;0;0.84;5
