;SERIAL;Feedback;TIME;ZEIT;GOAL;gmc_GOALt1
1277;AT973973;1;LP_T9;TE03_01;4;
1278;CV988215;1;LP_T9;TE03_01;6;
1279;PY378998;1;LP_T9;TE03_01;5;
1281;FF171956;1;LP_T9;TE03_01;6;
1282;GZ249864;0;LP_T9;TE03_01;4;
1283;PW785611;0;LP_T9;TE03_01;2;
1284;WR312764;1;LP_T9;TE03_01;4;
1017;LP893358;0;LP_T8;TE03_01;6;
1018;DZ883544;1;LP_T8;TE03_01;4;
1019;CU525786;1;LP_T8;TE03_01;6;
1020;FY246884;0;LP_T8;TE03_01;5;
1021;BA355797;1;LP_T8;TE03_01;4;
1022;XY216464;0;LP_T8;TE03_01;6;
1023;XP544262;1;LP_T8;TE03_01;4;
1024;GK718459;0;LP_T8;TE03_01;5;
1025;LQ366462;1;LP_T8;TE03_01;6;
1026;SW218242;1;LP_T8;TE03_01;4;
1027;EE558756;1;LP_T8;TE03_01;6;
1028;AN652227;0;LP_T8;TE03_01;4;
1029;KV214531;1;LP_T8;TE03_01;3;
1030;EP831244;0;LP_T8;TE03_01;5;
1031;MB259846;0;LP_T8;TE03_01;5;
1032;BS791494;0;LP_T8;TE03_01;6;
1033;AH561571;0;LP_T8;TE03_01;4;
1034;NV617537;0;LP_T8;TE03_01;4;
1035;LF961829;0;LP_T8;TE03_01;5;
1036;EL742586;1;LP_T8;TE03_01;5;
1037;BC191415;0;LP_T8;TE03_01;3;
1038;AP844344;1;LP_T8;TE03_01;4;
1039;AY454349;1;LP_T8;TE03_01;5;
1040;PA298545;1;LP_T8;TE03_01;3;
1042;FX545495;1;LP_T8;TE03_01;6;
1043;LW441239;1;LP_T8;TE03_01;6;
1044;XV615413;1;LP_T8;TE03_01;6;
1045;EK319924;1;LP_T8;TE03_01;6;
1046;YM644361;0;LP_T8;TE03_01;5;
1047;FL248294;0;LP_T8;TE03_01;5;
1048;MD787544;1;LP_T8;TE03_01;6;
1049;DC443849;0;LP_T8;TE03_01;4;
1050;YA272536;1;LP_T8;TE03_01;3;
1051;CF824211;1;LP_T8;TE03_01;4;
1052;AT973973;1;LP_T8;TE03_01;6;
1053;ZV438183;1;LP_T8;TE03_01;4;
1054;LB318186;0;LP_T8;TE03_01;6;
1056;VB488197;0;LP_T8;TE03_01;5;
1057;FE929218;0;LP_T8;TE03_01;5;
1058;FL283383;1;LP_T8;TE03_01;5;
1059;XS659581;0;LP_T8;TE03_01;6;
1060;PK111235;0;LP_T8;TE03_01;2;
1061;AK891341;0;LP_T8;TE03_01;4;
1062;UR157297;0;LP_T8;TE03_01;3;
1063;VR815563;1;LP_T8;TE03_01;6;
1064;PK497634;1;LP_T8;TE03_01;5;
1065;UY881832;0;LP_T8;TE03_01;2;
1066;HA634253;1;LP_T8;TE03_01;5;
1067;HS785464;0;LP_T8;TE03_01;6;
1068;TC633551;1;LP_T8;TE03_01;5;
1069;ME363698;1;LP_T8;TE03_01;1;
1070;UX896743;0;LP_T8;TE03_01;4;
1071;ME862665;0;LP_T8;TE03_01;5;
1072;XB482288;0;LP_T8;TE03_01;6;
1073;PQ466859;0;LP_T8;TE03_01;4;
1074;XN198271;1;LP_T8;TE03_01;5;
1075;LH578194;1;LP_T8;TE03_01;5;
1076;AA223798;1;LP_T8;TE03_01;5;
1077;AE814737;1;LP_T8;TE03_01;3;
1078;XV917984;1;LP_T8;TE03_01;6;
1079;VZ398246;1;LP_T8;TE03_01;5;
1080;YC186467;1;LP_T8;TE03_01;6;
1081;CZ836922;1;LP_T8;TE03_01;4;
1082;GZ249864;0;LP_T8;TE03_01;5;
1083;GD335178;1;LP_T8;TE03_01;6;
1084;DM159531;0;LP_T8;TE03_01;6;
1085;PY946565;1;LP_T8;TE03_01;6;
1086;NK367231;1;LP_T8;TE03_01;5;
1087;DT637117;0;LP_T8;TE03_01;5;
1088;UL113513;0;LP_T8;TE03_01;6;
1089;WC754144;1;LP_T8;TE03_01;5;
1090;HQ159989;0;LP_T8;TE03_01;5;
1092;FK136917;1;LP_T8;TE03_01;5;
1093;SP553518;0;LP_T8;TE03_01;5;
1094;YL695788;1;LP_T8;TE03_01;6;
1095;YE632525;1;LP_T8;TE03_01;5;
1096;PW785611;0;LP_T8;TE03_01;6;
1097;ET745775;0;LP_T8;TE03_01;5;
1098;RH615392;0;LP_T8;TE03_01;2;
1099;PY378998;1;LP_T8;TE03_01;6;
1100;QR394599;1;LP_T8;TE03_01;4;
1101;SN429438;0;LP_T8;TE03_01;4;
1102;TB885956;1;LP_T8;TE03_01;4;
1103;YR389785;1;LP_T8;TE03_01;4;
1104;PH647245;0;LP_T8;TE03_01;4;
1105;BF819292;1;LP_T8;TE03_01;4;
1106;SE522452;0;LP_T8;TE03_01;5;
1107;YC888437;0;LP_T8;TE03_01;6;
1108;RV452633;0;LP_T8;TE03_01;1;
1109;ZT573312;0;LP_T8;TE03_01;6;
1110;BX289155;0;LP_T8;TE03_01;6;
1111;GA326557;1;LP_T8;TE03_01;4;
1112;HD353817;1;LP_T8;TE03_01;6;
1113;RT652696;0;LP_T8;TE03_01;4;
1114;RW164757;0;LP_T8;TE03_01;4;
1115;TP544386;1;LP_T8;TE03_01;6;
1116;XZ767591;1;LP_T8;TE03_01;5;
1117;YF233344;0;LP_T8;TE03_01;5;
1118;YN129325;0;LP_T8;TE03_01;6;
1119;VX588246;1;LP_T8;TE03_01;6;
1120;FF171956;1;LP_T8;TE03_01;5;
1121;XG496891;0;LP_T8;TE03_01;6;
1122;SM631877;0;LP_T8;TE03_01;6;
1123;CV988215;1;LP_T8;TE03_01;4;
1124;VY624531;1;LP_T8;TE03_01;6;
1125;PN821564;0;LP_T8;TE03_01;5;
1126;AZ588774;0;LP_T8;TE03_01;5;
1127;VN755488;1;LP_T8;TE03_01;4;
1128;KZ623294;0;LP_T8;TE03_01;5;
1129;XA855886;1;LP_T8;TE03_01;5;
1130;SR175276;1;LP_T8;TE03_01;5;
1131;NV651396;1;LP_T8;TE03_01;5;
1132;VK722412;0;LP_T8;TE03_01;4;
1133;XK242279;0;LP_T8;TE03_01;6;
1134;AW495873;0;LP_T8;TE03_01;1;
1135;TC332594;1;LP_T8;TE03_01;2;
1136;NK144173;0;LP_T8;TE03_01;4;
1137;NM384333;0;LP_T8;TE03_01;5;
1138;AT424766;0;LP_T8;TE03_01;6;
1139;WR312764;1;LP_T8;TE03_01;4;
1140;LC333483;0;LP_T8;TE03_01;6;
1141;NB497633;1;LP_T8;TE03_01;6;
1142;XY662821;0;LP_T8;TE03_01;5;
1143;VU521743;1;LP_T8;TE03_01;6;
1144;DA181897;0;LP_T8;TE03_01;3;
1145;TG784124;1;LP_T8;TE03_01;5;
1146;BG864843;1;LP_T8;TE03_01;6;
1147;BV722553;0;LP_T8;TE03_01;3;
1148;DU868473;1;LP_T8;TE03_01;5;
918;GZ249864;0;LP_T7;TE03_01;3;
919;NV617537;0;LP_T7;TE03_01;3;
920;AN652227;0;LP_T7;TE03_01;4;
921;YC186467;1;LP_T7;TE03_01;4;
922;UY881832;0;LP_T7;TE03_01;5;
923;RH615392;0;LP_T7;TE03_01;3;
924;ME862665;0;LP_T7;TE03_01;4;
925;VB488197;0;LP_T7;TE03_01;4;
926;DC443849;0;LP_T7;TE03_01;5;
927;PH647245;0;LP_T7;TE03_01;4;
928;YM644361;0;LP_T7;TE03_01;5;
929;LH578194;1;LP_T7;TE03_01;5;
930;LB318186;0;LP_T7;TE03_01;6;
932;PK497634;1;LP_T7;TE03_01;6;
933;XY216464;0;LP_T7;TE03_01;6;
934;BA355797;1;LP_T7;TE03_01;2;
935;BS791494;0;LP_T7;TE03_01;5;
936;AT424766;0;LP_T7;TE03_01;6;
937;ET745775;0;LP_T7;TE03_01;4;
938;RW164757;0;LP_T7;TE03_01;6;
939;SE762113;0;LP_T7;TE03_01;6;
940;FX545495;1;LP_T7;TE03_01;5;
941;AE814737;1;LP_T7;TE03_01;6;
942;UR157297;0;LP_T7;TE03_01;3;
943;VR815563;1;LP_T7;TE03_01;6;
