CASE;SERIAL;QUESTNNR;Wochen;Tage;STARTED;LZ02_01;LZ03_01;LZ04_01;ZE02_01;ZE03_01;PL01_01;PL02_01;SM02_01;SM02_02;SM02_03;SE01_03;TE_Bel_1;TE_Bel_2;TE_Bel_3;TE_Bel_4;TE_Bel_5;TE_Bel_6;TE03_01;TE04_01;TE05_01;TE06_01;TE07_01;TE08_01;TE09_01;TE10_01;TE11_01;TE12_01;TE13_01;TE14_01;TE15_01;TE16;TE17_01;TIME001;TIME002;TIME003;TIME004;TIME006;TIME007;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME_SUM;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
1564;HD353817;TA;1;1;11.01.2021 07:02;"-hochgeladene Videos der Professoren bearbeiten (Entwicklungspsychologie, Sonderpädagogik)
";6;2;0h;3h;5;Erst Entwicklungspsychologie bearbeiten, danach Sonderpädagogik;3;3;3;6;4;1;4;3;1;2;6;0h;Knapp über 3h;4;1;4;3;5;4;-1;Mehr Motivation ;4;4;1;6;24120;111;24;81;;22;8;14;6;;10;57;69;31;37;56;3;510;1;19;19;0;0;0.35;0
1565;EE558756;TA;1;1;11.01.2021 07:23;"Heutigen Vorlesungen anschauen 
Für diese Vorlesungen Zusammenfassungen schreiben
Für die Klausur Forschungsmethoden lernen ";5;4;2  Stunden ;4h;6;"7:30 - 10:00 Entwpsy
10:15 - 12:30 EW
13:00 - 14:00 Statistik 
15:00 - 17:00 Forschungsmethoden 
17:00 - 18:30 Entwpsy";4;5;5;5;5;2;1;2;1;1;6;2h;4h30min;6;1;5;5;6;5;6;Zusammenfassungen schreiben;6;6;1;6;69;103;;264;;15;7;10;33;36504;12;26;83;37;49;53;4;669;1;19;19;0;0;0.33;0
1566;CU525786;TA;1;1;11.01.2021 07:40;Heute möchte ich den restlichen Stoff für eine Klausur lernen. ;6;4;5h 30min;1h 30min;6;#NAME?;4;3;5;6;2;4;2;1;1;1;6;4h;1h;6;1;4;5;5;4;6;"- 2 Vorlesungen beenden 
- lernen";4;4;1;5;7110;1466;;170;;17;8;8;23;;14714;47;116;30;60;217;5;436;1;19;19;0;0;0.24;0
1567;KV214531;TA;1;1;11.01.2021 07:50;"1. Text fürs Seminar Grundbegriffe der EW lesen und Fragen beantworten 
2. Vorlesung 10 in E- Psycho anschauen und zusammenfassen 
3. sensumotorische und prä- operationale Stadium von Piaget lernen 
4. 1. Vorlesung von Einführung in EW lernen 
5. 9. Vorlesung von E-Psycho zusammenfassen ";4;5;01:30;6;5;"- Bis 9: Text Wilkens lesen und Fragen beantworten 
- bis 10: 10. E-Psycho- Vorlesung anschauen 
Nachmittags: 
- 10. Vorlesung zu Ende schauen: zusammenfassen
-Piaget lernen
- Einführung in EW lernen 
- 9. Vorlesung zusammenfassen 
";5;4;1;6;6;2;1;2;1;1;4;01:20;5;5;4;4;5;4;5;-1;Unbedingt lernen: Lüders und Karteikarten ;5;5;1;2;10;210;;233;;25;;10;145;43261;9;34;88;63;71;113;4;630;1;19;19;0;0;0.27;0
1569;SW218242;TA;1;1;11.01.2021 07:51;#NAME?;5;1;0;3h;3;"Ihn zu schaffen 
- bis 16 Uhr fertig zusein
";5;3;5;5;3;1;1;1;1;1;4;0;5;5;4;5;5;5;4;5;Alle Vorlesungen studieren und Text lesen, Klausurinhalte anschauen ;2;2;1;5;141;151;13;231;19;17;;11;22;32152;41;19;56;33;81;103;7;648;1;19;19;0;0;0.27;0
1572;XV615413;TA;1;1;11.01.2021 08:07;alle planmäßigen Vorlesungen angucken, nacharbeiten;6;3;6h;1h;6;"8:00-14:00 Uhr Vorlesung
14:00-16:00 Uhr Selbststudium (nacharbeiten)
16:00-18:00 Uhr Vorlesung";3;4;4;6;3;5;1;3;1;1;6;6h;1h;6;1;5;5;5;2;6;Genauso vorgehen wie heute.;3;6;1;5;26;80;;140;;89;12;15;25;31096;35;41;65;68;53;64;5;550;1;19;19;0;0;0.25;0
1573;GD335178;TA;1;1;11.01.2021 08:08;"- Aufgaben des interaktiven Lernraums erledigen und abschicken
- zwei Vorlesungen ""Entwicklungspsychologie der Kindheit"" lernen
- bereits gelernte Vorlesungen nochmal durchgehen";5;5;0h 0min;10h 15min;5;"1.) erste Vorlesung (ca. 1h 45 min)
2.) interaktives Lernmodul (ca. 3h)
3.) letzte Vorlesung und Aufgaben (1h 30min)


gelernte Vorlesungen nochmal durchgehen (ca. 2h)
zwei neue Vorlesungen lernen (ca. 2h)";4;4;4;4;1;6;3;1;2;1;5;0h 0min;10h 30min;4;1;5;5;5;5;5;Ich möchte versuchen, etwas schneller zu arbeiten und nicht so viel Zeit in unwichtigere/ kleinere Aufgaben zu investieren.;5;5;1;6;8;157;8;539;;46;11;29;169;36267;5;53;64;52;76;118;4;582;1;19;19;0;0;0.25;0
1574;NB497633;TA;1;1;11.01.2021 08:09;"- Text für Erziehungswissenschaften durcharbeiten + Fragen beantworten
- Vorlesung Forschungsmethoden
- Lernzettel zu ""Feldstudien"" fertig machen";6;5;0;7h;4;"- alles ordentlich und gewissenhaft machen, wenn eine Aufgabe dann länger brsucht als geplant ist das nicht schlimm
- erst Lernzettel für Forschungsmethoden zuende machen, dann Forschungsmethoden Vorlesung und am Ende Text für EW bearbeiten -> erst die kurzen Aufgaben um sicherzustellen dass ich die heute wirklich schaffe und nicht zu lange an dem Text für EW bin
- 8:35 - 9:00Uhr Lernzettel Forschungsmethoden
- 9:05 - 9:45Uhr VL Forschungsmthoden
- 10:30Uhr - 13Uhr Text EW";5;6;5;6;6;1;1;3;1;3;6;0;4h 15min;5;1;6;6;6;6;-1;Ich arbeite strukturiert und setze mir Zeitvorgaben, die ich einhalte. Das hilft mir mich zu motivieren und konsequent zu arbeiten.;6;6;1;6;12;180;14;303;15;14;;5;31;29669;6;17;45;29;39;106;4;767;1;19;19;0;0;0.38;0
1575;LH578194;TA;1;1;11.01.2021 08:09;Klausur-Vorbereitung;5;4;3 Stunden 30 Minuten;5 Stunden;6;Sport, Präsenz, Bib, Sebststudium;5;5;3;5;4;4;2;3;1;1;6;3 Stunden 30 Minuten ;5 Stunden;6;1;4;5;5;5;6;Präzenzstudium, selbststudium, Klausr-Vorbereitung;5;5;1;5;5;48;;155;;21;;6;17;29027;6;24;47;26;48;73;4;466;1;19;19;0;0;0.47;0
1576;FX545495;TA;1;1;11.01.2021 08:10;Alle Vorlesungen die ich heute habe anschauen und durcharbeiten. Mein Statistik Tutorium verstehen, um nicht hängen zu bleiben. Zudem mir die Vorlesungen von Entwicklungspsychologie anschauen, um mir die zurückliegenden Themen wieder ins Gedächtnis zu rufen.;6;4;1h 30;4h;4;Zuerst das Statistik Tutorium 1h30, wichtig (online). Dann an die zwei anderen Vorlesungen setzen, die Aufgaben bzw. wichtige Dinge aufschreiben. Essen, vielleicht Sport machen oder Spazieren gehen. Danach Wiederholen der Vorlesungen für die Klausur Entwicklungspsychologie, Puffer falls ich das nicht schaffe, mache ich das morgen. Da hab ich nur eine Vorlesung;2;2;3;5;1;1;1;1;1;1;6;1h30;circa 4h 30min;4;3;6;5;5;5;5;genauso motiviert und produktiv zu arbeiten. Die Arbeit die ich nur teilweise gemacht habe und somit aufgeschoben habe morgen zu erledigen!;5;4;1;6;11;156;;295;23;16;5;9;56;33028;15;22;69;47;55;89;4;798;1;19;19;0;0;0.31;0
1577;AN458214;TA;1;1;11.01.2021 08:10;"Alle Vorlesungen und Tutorien anschauen/mitmachen 
Entwicklungspsychologie lernen und Forschungsmethoden ";5;4;4h 30min;3h;5;"8-16 Uhr: Vorlesungen 
16.30 Uhr: Lernen ";4;4;5;6;3;6;1;3;1;1;3;3h;1h 30min;3;5;4;4;2;3;3;Das von heute nicht geschaffte noch zu erledigen und mehr ;2;3;1;3;5;108;;135;;125;12;15;13;30784;3;28;53;33;44;94;2;543;1;19;19;0;0;0.42;0
1581;FK136917;TA;1;1;11.01.2021 08:22;"Vorlesung anschauen
Vorlesung zusammenfassen";5;2;1h;0;2;;3;2;2;5;2;2;2;6;5;4;5;30min;0;-1;5;4;4;3;5;-1;Auf die Uni konzentrieren;3;3;2;6;6;129;5;62;5;14;2;9;11;37942;4;27;35;29;20;53;2;413;1;19;19;3;3;0.57;0
1590;AE814737;TA;1;1;11.01.2021 08:36;#NAME?;6;5;1h ;4h;6;"10:30 - 11:30: Vorlesung LitWi 
12:00 - 13:00: Entwicklungspsychologie Wiederholung 
-> privater Termin (13:45 Uhr) 
14:30-15:30: Entwicklungspsychologie Wiederholung 
15:45-17:00: Forschungsmethoden 
";5;4;4;5;3;2;1;2;1;2;6;1,5h;5h;6;1;4;4;5;6;5;Früher anfangen zu Lernen da ich am Morgen mehr Konzentration habe als am Nachmittag. ;6;4;1;5;3647;111;5;228;;14;;6;36;;24374;37;39;23;25;60;3;560;1;19;19;0;0;0.38;0
1592;AP844344;TA;1;1;11.01.2021 08:37;Allle Vorlesungen machen und anfangen für Entwicklungspsychologie zu lernen;4;5;3 h;2 h;3;"9-10 Entwicklungspsych Vorlesung schauen und Word notizen dazu
10-12 Tutorium Statistik

16-20 Uhr lernen";3;4;4;5;3;4;1;5;1;1;5;3,5 h;0,5 h;5;3;4;4;5;4;5;ich bin weniger mit dem vollen Zeitplan überfordert und konzentriere mich darauf, dass ich es schaffe. Obwohl morgen viel zu tun ist, bewahre ich einen coolen Kopf;5;4;1;6;14;39;;81;9;15;1;9;5;48582;4;27;42;33;46;95;5;425;1;19;19;0;0;0.57;3
1593;VR815563;TA;1;1;11.01.2021 08:37;"- 2 Vorlesungen anhören 
- anfangen für die SoWi-Klausur zu lernen
";6;4;2h 30min;2h;2;"heute vormittag möchte ich die Vorlesung angehört haben. Nach Kognition fange ich dann an mir SoWi anzuschauen
. Vorlesung: bis 12 Uhr
. Mittagspause bis kurz vor 13 Uhr
.Vorbereitung Kognition
.Kognition: bis 15.45 Uhr
.SoWi";3;1;4;5;4;3;1;2;1;2;6;ca. 2h30 min;2h 30min ;6;2;4;3;5;4;-1;alle Vorlesungen, die morgen dran sind auch anzuhören.;3;4;1;6;5596;83;;241;23;18;3;9;7;;4849;16102;6408;34;79;90;4;536;1;19;19;0;0;0.28;0
1597;FF171956;TA;1;1;11.01.2021 08:54;Keine, da ich den ganzen Tag arbeite. ;6;1;0;0;1;;-9;-9;-9;-9;1;1;6;1;1;1;-1;0;0;-9;-9;-9;-9;-9;-9;-1;;-9;-9;2;3;4;35;5;37;3;16;2;9;9;28499;2;23;27;11;22;46;2;253;1;19;19;44;43;0.81;5
1599;DA554611;TA;1;1;11.01.2021 09:00;"Alle für heute anstehende Vorlesungen/ Seminar bearbeiten;
Anfangen, Mitschriften für Prüfung zu ordnen";6;3;4h 30min;5h 30min;3;"Vormittags möglichst alle Vorlesungen bearbeiten
Nachmittags - Abends Selbststudium
";3;2;4;5;5;3;1;1;1;2;4;4h 30min;4h;5;2;5;4;4;2;-1;"Vorlesungen (päd. Epochen&Statistik) bearbeiten/ daran teilnehmen und nacharbeiten; restlichen Skripte von Einführung in die EWi bearbeiten & evt. anfangen zu wiederholen";3;4;1;5;2163;121;;406;19;20;4;7;21;28782;11;43;52;38;50;176;5;586;1;19;19;0;0;0.28;0
1600;DU868473;TA;1;1;11.01.2021 09:04;Heute werde ich mich um meine Vorlesungen am Montag kümmern (Video anschauen bzw. bei Seminar live beitreten) und Mitschriften machen. Später werde ich noch etwas für die Klausur in Grundbegriffe der Erziehung lernen.;6;5;1,5 Stunden;9 Stunden;5;Heute Morgen bis Mittag werde ich mich um die Vorlesungen bzw. das Seminar kümmern. Das ziehe ich meist durch von 8-13:45 Uhr. Dann mache ich eine große Pause, esse etwas, lenke mich einfach ab und gehe spazieren um meinen Kopf etwas frei zu bekommen. Gegen späten Nachmittag setzte ich mich dann wieder hin und lerne für die Klausur (ca. 17-20 Uhr).;5;5;2;6;4;2;1;4;1;4;6;1,5 Stunden;10 Stunden;6;1;5;6;5;4;6;Morgen werde ich den Vormittag für die Vorlesungen und Mitschriften nutzen. Dann werde ich eine Pause machen und anschliessend weiter für die kommenden Klausuren lernen (speziell für Grundbegriffe der Erziehung).;4;4;1;6;15;174;11;317;;27;;13;26;47844;9;41;50;50;38;115;4;858;1;19;19;0;0;0.27;0
1601;EV527269;TA;1;1;11.01.2021 09:04;Lernplan erstellen ;4;3;3h;3h;3;30min Arbeit, 10min Pause;2;3;3;3;4;3;3;3;5;2;5;3h;2h;3;4;3;3;4;3;4;Mehr lesen ;2;4;1;4;9;460;6;44;4;12;1;6;9;34482;5;8;2147;6;13;18;2;192;1;19;19;0;0;0.92;15
1602;SS198481;TA;1;1;11.01.2021 09:10;"Teilnahme am Seminar 
einen schwereren und einen leichteren Vorlesungsinhalt eines Moduls lernen 
Aufgabenblatt für mein Tutorium erledigen
Teilnahme am Tutorium ";6;4;3h;3h 30min;5;"10.15-11.45Uhr Seminar 
11.45-12.30 Mittagspause
12.30-15.00 Auswendiglernen der geplanten Vorlesungsinhalte 
15.00-16.00 Aufgabenblatt für das Tutorium bearbeiten 
16.15-17.45 Tutorium ";6;4;2;5;4;3;1;1;2;2;6;1h 30min ;3h 30min ;5;1;5;5;6;5;6;Präsenzunterricht wahrnehmen, eine asynchrone Vorlesung anschauen, heute Gelerntes wiederholen, Formelsammlung fortsetzen ;6;5;1;5;686;289;;428;;22;;8;42;29694;32;117;65;37;162;137;5;386;1;19;19;0;0;0.22;0
1603;QR394599;TA;1;1;11.01.2021 09:11;"- Studie Kognition lesen
- 2-3 Vorlesungsinhalte zusammenfassen und auf Karteikarten (Forschungsmethoden und ggf. Allgemeine Psych.)";5;5;0;5 h;3;"- ca. 1 h Kognitionsstudie lesen (am wichtigsten) und den Rest der Zeit fürs lernen der anstehenden Klausuren
- großzügige Zeiteinteilung, falls noch andere Dinge dazwischen kommen ";4;4;2;4;6;1;1;4;2;5;5;0h;4h;4;2;4;4;4;5;-1;Handy auf Flugmodus um Ablenkung zu vermeiden. ;3;4;1;5;6;146;7;147;30;17;3;8;26;28865;29;22;42;28;113;54;2;497;1;19;19;0;0;0.42;0
1604;NK367231;TA;1;1;11.01.2021 09:11;"Wiederholung Statistik 
2 Kapitel im Forschungsmethoden Buch 
Text für Grundbegriffe der EW
Tutorium Statistik ";4;3;90min;10h;5;"Leichter Anfang mit Wiederholung von Statistik
Bis zur Mittagszeit ein Kapitel im Buch lesen und danach kochen und kurze Pause 
Text für Grundbegriffe der Erziehungswissenschaft lesen und die Fragen dazu beantworten
danach noch mindestens ein Kapitel im Buch anfangen bevor es Abendessen gibt 
Bis zum schlafen gehen noch ein wenig weiter lesen im Buch für Forschungsmethoden ";4;3;5;4;2;1;1;6;1;2;4;15min;7h;3;6;5;4;6;5;5;Meine Fächer ansehen und die noch fehlende Aufgabe erfüllen ;2;4;1;5;11;54;10;174;;15;4;8;26;43467;4;16;43;22;26;48;3;441;1;19;19;0;0;0.5;0
1607;XP544262;TA;1;1;11.01.2021 09:13;#NAME?;5;3;1h 30 min;5 Stunden;5;"9:30 Beginn mit Trainingslehre (easy start)
10:15 Frühstück (Energie speichern)
10:45 Text Cognition lesen
11:30 Vorlesung Forschungsmethoden angucken
(14:00 Arbeit + einkaufen )
16:00 Seminar Cognition
18:30 kochen
20:00 lernen 

";4;4;5;5;5;4;3;3;1;1;4;1h 35min;6h ;3;3;6;5;5;2;-1;produktiv und Konzentrierte Arbeitsphasen aber auch schöne Phasen zwischendrin;5;6;1;4;6;110;;281;;27;4;7;19;42196;3;33;30;84;38;62;3;691;1;19;19;0;0;0.44;0
1609;KZ379721;TA;1;1;11.01.2021 09:17;"-Die Vorlesungen von heute machen.
- Entwicklungspsychologie Vorlesungen machen -> Lernzettel
";5;3;2h;2h;4;"Erst Live Veranstaltungen machen. (12-14 Uhr)
Dann Entwicklungspsychologie Vorlesungen machen -> für die Klausur lernen (15-17 Uhr)";3;3;4;5;4;4;1;2;1;1;4;2h;3h;5;3;3;5;5;2;4;Vorlesungen schaffen und weiter die Lernzettel machen;2;3;1;5;4;217;10;174;15;21;4;9;65;26512;12;18;35;28;29;42;3;425;1;19;19;0;0;0.43;0
1612;BA355797;TA;1;1;11.01.2021 09:23;"2 EW-Vorlesungen nacharbeiten
Entwicklungspsychologie Vorlesung + dazugehörige Lernblätter anfertigen ";6;3;0h;2h;5;"10:00 - EW durcharbeiten
12:45 - Vorlesung Entwicklungspsychologie 
-> Lernblätter erstellen";3;3;4;6;2;2;2;5;1;3;4;0h;30 min;2;1;4;5;2;3;2;Besseres Einteilen meiner Zeit;3;4;1;5;396;95;;167;;17;5;12;28;32558;11;24;35;37;40;58;3;510;1;19;19;0;0;0.37;0
1615;PA298545;TA;1;1;11.01.2021 09:29;"Das strukturierte und aufmerksame durcharbeiten von zwei Forschungsmethoden Vorlesungen, diese zusammenfassen und lernen.
Dabei die Inhalte der letzten Vorlesungen wiederholen und reflektieren wo genau noch Übungsbedarf besteht.";5;5;30 min;6 h;5;"2h - Wiederholung von bereits gelernten Inhalten
3h - Zusammenfassen von Vorlesungsmaterialien
1h - Lernen der aktuell zusammengefassten Inhalten
  ";5;3;6;4;6;3;1;3;1;2;4;15 min;4 h;4;4;4;3;3;5;-1;das was ich heute nicht geschafft hab aufzuholen und für morgen meinen Zeitplan einzuhalten, damit ich meinen generellen Zeitplan einhalte.;5;5;1;4;16;237;6;213;;15;;8;11;33350;9;41;53;34;42;178;4;661;1;19;19;0;0;0.33;0
1617;GR441237;TA;1;1;11.01.2021 09:39;Die ersten Karteikarten zum lernen zusammen zu fassen. (mind. 2 schaffen);5;4;4h;2h;2;"von 10 bis 14 Uhr Online Meetings
1 Stunde Pause (Hausarbeit erledigen)
danach Selbststudium bis 20 Uhr Zeit";5;5;3;5;3;4;4;1;1;1;5;4h;1h 20min;5;2;5;4;5;5;4;Alles zu schaffen was ich mir vornehme und vielleicht noch mehr.;5;4;1;3;16;64;;191;29;17;;9;211;23593;2;58;71;40;74;55;4;539;1;19;19;0;0;0.4;2
1621;XK292543;TA;1;1;11.01.2021 09:44;"-Die 2. Vorlesung von Einfürhung in die Erziehungswissenschaft lernen.
-Überfliegen der Studie für das anstehende Kognitions Seminar am Nachmittag";6;4;3h;3h;6;Vormittags Einführung in die Erziehungswissenschaft lernen. Bis 14 Uhr die Studie von Kognition überflogen haben;3;2;5;5;4;4;1;2;1;1;6;3h;2h 30 min;6;1;5;4;5;3;-1;"ausarbeiten der 1. Vorlesung, Ew entweder wiederholen oder einen neuen Teil lernen.
Aufgaben zu Forschungsmethoden vor dem tutorium nochmal anschauen. Statistik AB lösen und vorlesung auf mittwoch verschieben";5;5;1;6;15;169;;251;;42;25;15;15;22199;7;18184;90;78;55;181;3;937;1;19;19;0;0;0.23;0
1625;XA855886;TA;1;1;11.01.2021 09:51;Punkte meines Lernplans für heute abarbeiten;4;2;1 h 30 min;4 h;6;25-5 x 3 - 15 x 5;3;5;2;4;5;2;1;3;3;1;6;30 min ;5 h;3;1;3;5;5;2;-1;;1;1;1;-9;745;135;28;289;;38;6;13;54;27736;32;113;144;85;54;248;6;702;1;19;19;6;6;0.17;0
1628;CF824211;TA;1;1;11.01.2021 09:58;#NAME?;5;3;2h;5h ;4;Anfänglich alle Vorlesungen bearbeiten und organisatorische Dinge klären, später die Folien durcharbeiten für besseres Lernen. ;5;5;4;4;4;1;1;5;1;1;4;01:30;2h;3;3;3;4;2;3;4;Wirklich motivierter anfangen zu lernen und sich nicht immer ablenken lassen!;4;6;1;5;433;229;;125;13;17;;8;40;24436;8;28;32;45;23;55;3;383;1;19;19;0;0;0.37;0
1629;YC186467;TA;1;1;11.01.2021 09:58;#NAME?;5;5;3h;6h;4;"-KW Tuorium (10-12.00Uhr)
-Selbstudium (12-14.Uhr)
-Selbstudium (14-16Uhr)
-Pause
-Kognition (16.15-17.45Uhr)
-Pause
- Seminar KW (18.00-19.00Uhr)
- Selbstudium (19.00-21.00Uhr)";3;3;5;4;4;3;5;5;2;1;4;3h;4h;4;5;5;3;3;3;4;Effizient arbeiten, sich Zeit für Pausen nehmen.;5;4;1;4;169;263;11;326;20;18;5;11;43;38108;13;38;49;53;48;112;6;445;1;19;19;0;0;0.25;0
1631;ME363698;TA;1;1;11.01.2021 10:03;#NAME?;5;4;1h 30 min;4h;3;"-JA. 1,5 h
-Statistikaufgaben 1,5 h
-für die Forschungsmethodenzusammenfassung je 1 h";4;4;4;3;4;6;1;4;1;1;4;1h 30 min;4 30 min;2;5;4;3;4;4;4;"Die restlichen FF-Zusammenfassungen schreiben.
Ja komplett durchlesen
";4;3;1;4;14;209;;178;26;20;3;15;23;52908;4;35;53;37;78;84;4;490;1;19;19;0;0;0.35;0
1632;PY946565;TA;1;1;11.01.2021 10:04;Am Tutorium und Seminar teilzunehemen, die Nachbereitung des heutigen Seminars und den Text für Mittwoch lesen. ;6;3;3h;1h 30min;5;"10h15 - 11h45 Tutorium
12h15 - 13h45 Seminar
14h15 - 15h45 Nachbereitung/Vorbereitung";5;3;3;6;2;2;1;2;1;1;5;3h;1h 15min;5;3;6;6;3;1;-1;Beide Vorlesungen durcharbeiten und Nachbereiten und die Vorbereitung für Mittwoch;3;5;1;4;11;108;;182;;45;;11;19;24473;14;34;52;42;72;199;4;546;1;19;19;0;0;0.29;0
1633;YL695788;TA;1;1;11.01.2021 10:06;"- Teilnahme Tutorium Statistik, Seminar Kognition und Kurzbesprechung zur Vorlesung Einführung in die Kommunikationswissenschaft 
- Lernziele: Start Prüfungsvorbereitung: heute Wiederholung der Vorlesung Statistik zum Thema Messen, eindimensionale Häufigkeitsverteilung und Lage- und Streumaße. ";6;4;4h 0 min ;3h 0min;6;"- eng getacktet Zeitplan 
- Selbstmotivation alles studienrelevante zu erledigen
- freuen auf den heutigen Abend, wenn alles erledigt ist und ich ein gutes Gefühl habe
- Statistik Lernen als oberste Priorität, da es am ""schwierigsten"" ist. ";6;6;1;6;2;4;1;4;1;1;6;3h 20 min;2h 0min;5;1;4;4;4;5;6;Mein Vorsatz für morgen ist es einen genauso erfolgreichen und strukturierten Lerntag zu erleben und im gleichen Maße meine gesetzten Ziel zu erreichen, wie es heute der war. Weiterhin möchte ich mich nur bemühen konzentrierter an die Dinge zu gehen, welche ich mir für den morgigen Tag vornehme. ;6;5;1;5;6;248;;248;;20;;5;30;28891;13;23;91;52;53;182;5;732;1;19;19;0;0;0.33;0
1634;EL742586;TA;1;1;11.01.2021 10:07;"Essay fertigstellen
Vorlesung Entwicklungspsychologie
Vorlesung Sprachwissenschaft von letzter Woche";5;5;0min;8h;2;"Erst Essay -> dann Pause, mittagessen -> evtl nochmals Essay wenn nötig -> dann SpraWi ->und dann Entwicklungspsy.
2-3 h                1 - 2 h                                     1-2h                                                    2h                               2h";4;5;2;5;5;2;1;1;3;1;5;0min;7h;5;1;5;4;4;4;5;Mich nicht zu stessen, wenn ich nicht alles für morgen relevante erreiche.;2;5;1;3;10;101;8;261;37;32;2;14;26;32125;9;88;89;41;101;107;3;703;1;19;19;0;0;0.31;0
1635;AA223798;TA;1;1;11.01.2021 10:09;"Vorlesung Entwicklungspsychologie anschauen und zusammenfassen
Teilnahme Tutorium";6;4;1h 30min;3h;6;Erst Tutorium bis um 12, dann Vorlesung und Zusammenfassung;5;5;2;6;5;1;1;4;1;4;6;1h;2h ;4;1;4;5;5;4;5;Früher starten;3;3;1;4;8;55;;81;;14;;7;18;33724;16;49;41;33;57;42;8;414;1;19;19;0;0;0.42;0
1636;EC159212;TA;1;1;11.01.2021 10:10;"- 1 1/2 Vorlesungen von Frau Steinbrink angucken (den Rest von letzter Woche und die heutige)
-live Vorlesung von Herr Wilkens (vorher Textbearbeitung)
";6;3;1h 30min;2h 30min;2;"-9.15Uhr Text Wilkens
-10.15Uhr - 11.45Uhr Vorlesung Wilkens
-12Uhr-13.30Uhr Mittagspause, Essen kochen
-ab 13.30Uhr Vorlesungen Steinbrink bis 16Uhr";5;5;2;5;3;4;1;5;1;5;6;1h 30min;3h;3;3;2;3;4;4;3;Weniger putzen, mehr für das Studium machen.;5;2;1;5;5;618;14;364;22;17;;10;28;22547;3;30;48;39;34;65;3;343;1;19;19;0;0;0.38;0
1637;FL283383;TA;1;1;11.01.2021 10:14;"Prüfungsfragebogen in Diagnostik und Intervention weiter ausfüllen.
Aus den Folien von Entwicklungspsychologie der Kindheit das wichtigste Wortgetreu rausschreiben.";6;4;2h 30min;2h 30min;5;"-10:15-11.15 live
-12:00 Entwicklungspsychologie angucken
-danach Sonderpädagogik
-dann Diagnostik und Intervention 
-16:15 live Tutorium";4;4;2;6;4;3;1;4;1;4;3;2h;2h 30min;4;1;5;4;4;3;-1;Nicht zu viel vornehmen, lieber so das ich weiß das ich es auf jeden Fall schaffe.;4;5;1;5;8;100;;2372;;17;5;10;9;22021;4;28;55;51;45;63;3;449;1;19;19;0;0;0.4;0
1638;BG864843;TA;1;1;11.01.2021 10:15;#NAME?;6;3;20min;3h;3;"- Vorlesung 1 durcharbeiten
- Zimmer aufräumen
- Badezimmer putzen
- je nachdem wie viel Zeit noch bleibt -Pause- bis zur nächsten Vorlesung 18 Uhr
- Meeting mit Dozent 18 Uhr
- Vorlesung 2 durcharbeiten";2;2;5;4;4;1;1;1;1;1;3;20min;1h 30min;2;4;3;3;3;2;2;die Dinge durchziehen, die ich mir vornehme;3;3;1;4;9;64;;187;18;17;3;9;27;43263;3;20;36;32;38;53;4;480;1;19;19;0;0;0.47;0
1640;LW441239;TA;1;1;11.01.2021 10:15;"Ich werde erstmals an allen Vorlesungen teilnehmen die ich heute habe (auch die asynchronen Vorlesungen direkt zu der eigentlichen Uhrzeit) (also bis 16 Uhr)
Danach werde ich direkt zu diesen Vorlesungen die Zusammenfassung schreiben. Heute habe ich nur eine Vorlesung zu der ich eine Prüfung schreiben muss, also werde ich mich auch mit den vorherigen Zusammenfassungen (die ich aus zeitlichen Gründen nicht eher geschafft habe) befassen (ca. 2 VL).";5;4;4h 30min;3h - 4h;6;"9.15 - 11.15 Entwicklungspsychologie VL
12.15 - 13.45 Latein VL
Mittagessen
14.15 - 15.45 Philosophie VL
Pause
16.30/17.00 - Zusammenfassung EP VL 7
17.30 - 19.00 - Zusammenfassung EP VL 8
Abendessen
ggf. 20.30 - Zusammenfassung EP VL 9
";6;3;2;6;6;3;1;1;1;1;3;4h 30;2h;3;1;4;4;2;1;-1;Für morgen werde ich leider nichts für die Prüfungen machen können, da ich andere Aufgaben (nicht Prüfungsrelevant) erledigen muss. Aber ich werde Versuchen, wenn ich Zeit finden sollte, mich an die restlichen Zusammenfassungen für Entwicklungspsychologie ran zu setzten.  ;5;4;1;4;17;560;16;389;;26;;14;46;29574;12;29;75;38;75;222;5;343;1;19;19;0;0;0.23;0
1646;CZ836922;TA;1;1;11.01.2021 10:31;#NAME?;4;5;1h 30min;4h;5;#NAME?;3;3;5;4;5;2;4;2;1;1;4;1h30min;4h;4;4;5;5;4;5;5;"-2 Vorlesungen 
-lernen";4;5;1;5;4;89;;142;;12;4;8;13;21487;2;43;46;37;28;51;3;482;1;19;19;0;0;0.55;2
