CASE;SERIAL;QUESTNNR;Wochen;Tage;STARTED;LZ02_01;LZ03_01;LZ04_01;ZE02_01;ZE03_01;PL01_01;PL02_01;SM02_01;SM02_02;SM02_03;SE01_03;TE_Bel_1;TE_Bel_2;TE_Bel_3;TE_Bel_4;TE_Bel_5;TE_Bel_6;TE03_01;TE04_01;TE05_01;TE06_01;TE07_01;TE08_01;TE09_01;TE10_01;TE11_01;TE12_01;TE13_01;TE14_01;TE15_01;TE16;TE17_01;TIME001;TIME002;TIME003;TIME004;TIME006;TIME007;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME_SUM;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
5799;YL695788;TA;4;26;05.02.2021 07:45;#NAME?;6;3;0h 0 min;4h 0 min;6;- weiteres Lernen in den genannten Fächern, vor allem Fokus auf Kommunikationswissenschaft, da dort am Montag die  Prüfung ansteht;6;6;2;6;4;1;1;1;1;3;6;0 h 0 min;4h 0 min;6;1;6;6;6;6;6;- weiteres Lernen in Kommunikationswissenschaften, allgemeiner Psychologie und Forschungsmethoden;5;4;1;6;5;51;;75;;8;;4;3;37312;3;12;24;16;22;46;2;271;1;19;19;0;0;0.85;1
5800;EL742586;TA;4;26;05.02.2021 07:46;"Grammatik Aufgabe
LitWi Karteikarten
SpraWi lernen
Grammatik lernen
Reiseliteratur Texte lesen / bearbeiten";4;6;0;7h (+2h evtl);4;"Grammatik Aufgabe (1h)
LitWi Karteikarten(2h-3h)
SpraWi lernen (2h)
Grammatik lernen(1h)
Reiseliteratur Texte lesen / bearbeiten (2-3h)";5;4;5;4;3;1;1;2;1;1;6;0;8h;6;1;6;5;6;5;6;Ähnlich produktiv zu sein wie heute.;3;2;1;2;5;193;;94;4;9;;5;5;43221;4;19;29;28;13;46;2;456;1;19;19;0;0;0.65;0
5805;YC186467;TA;4;26;05.02.2021 08:10;"* Lernplaner am Abend 4.Februar leider vergessen*

- Statistik beenden & ausdrucken
- KW lernen
M&D lesen + Vorlesung ausarbeiten !!!";5;6;0h;12h;4;"-9:00 Statistik
-12:00 KW
30 Minuten Pause
- bis 14:00 lesen D&A+ anfangen nachzuarbeiten 
-16:00Uhr KW
- Ende D&A";5;4;6;5;6;1;3;5;1;3;5;0h;12h;5;3;5;5;5;3;5;"KA !
D&A!";4;2;1;5;1;72;1;128;2;7;;3;2;35617;2;11;14;62;2;57;1;365;1;19;19;0;0;Jan 38;28
5806;XP544262;TA;4;26;05.02.2021 08:14;Forschungsmethoden lernen, Allgemeine PSY Folien übernehmen ;4;3;0;4;5;"8:00 Tag starten 
8:30 skype mit elisa + work
10.00 raus lernen + Miri call + Bücher zur Bis
13:00 Essen 
14:00 Allgemeine Folien
16:00 eine h Power On
17:00 Abendbrot
";3;3;4;4;;;;;;;;;;;;;;;;;;;;;;4;32;2;119;;9;1;6;2;;;;;;;;;175;0;11;11;0;0;01. Mrz;9
5807;XV615413;TA;4;26;05.02.2021 08:17;lernen, Vorlesung schauen;6;6;0h;6h;6;"8:30-10:00 Vorlesung schauen
danach lernen";6;6;1;6;5;1;1;1;1;1;6;0h;6h;6;1;6;6;6;6;6;;1;1;1;1;3;40;2;45;;4;;4;2;43916;3;7;10;9;3;19;2;153;1;19;19;3;3;Jan 46;24
5808;PK497634;TA;4;26;05.02.2021 08:20;Wiederholen Allgemeine Psychologie, Vorlesung EW und Probeklausur, EW wiederholen;5;6;3h;4h;5;"8.30 Uhr bis 10 Uhr Allgemeine Psychologie wiederholen
10 Uhr bis 14.40 Uhr Vorlesung EW und Probeklausur 
17 Uhr bis 19 Uhr EW wiederholen ";4;2;6;5;6;5;1;1;1;1;4;1h;4h;5;3;5;5;5;4;5;Forschungsmethoden lernen;5;5;1;6;2;48;1;72;;8;1;24;2;33824;3;7;10;11;3;14;1;207;1;19;19;0;0;Jan 52;31
5810;TC633551;TA;4;26;05.02.2021 08:26;"Konzentriert Arbeiten
EW weiter zusammen fassen 
Statistik Übungsaufgaben 
Forschungsmethoden Zusammenfassen";4;5;1,5h;5h;4;"Statistik Tutorium 1,5h
Zusammenfassen EW 2-3h
Statistik Übungen 1-2h
Zusammenfassen Forschungsmethoden 1-2h";4;5;6;4;5;5;4;3;1;1;4;2h;4,5-5h;5;2;5;5;5;5;5;Konzentriert Arbeiten, kleine Ziele setzen;5;4;1;4;6;64;;171;16;12;2;5;2;40951;4;26;119;37;22;43;2;416;1;19;19;0;0;0.63;2
5813;HD353817;TA;4;26;05.02.2021 08:39;Erziehungswissenschaft lernen;5;5;1h;3h;5;"11uhr onlinemeeting 
Danach lernen ";4;4;4;6;5;5;1;1;1;4;3;1;2;2;4;2;3;2;3;3;Nichts ;4;4;1;5;4;21;1;37;;6;2;1;2;34680;3;9;14;11;5;21;1;138;1;19;19;0;0;Jan 53;31
5815;BG864843;TA;4;26;05.02.2021 08:41;#NAME?;5;6;0h;8h;5;#NAME?;1;1;6;4;6;1;1;1;1;1;5;0h;8h;6;2;5;5;5;2;6;#NAME?;3;3;1;3;2;16;2;49;;5;2;5;4;41617;6;12;23;34;9;26;2;197;1;19;19;0;0;01. Mai;8
5818;MD787544;TA;4;26;05.02.2021 08:44;Lernen;6;5;2h;4h;3;"13-14 Seminar
14-14:30 Testklausur";4;5;6;5;2;4;1;3;5;1;3;2h;1h;6;3;3;4;3;5;2;Lernen;5;3;1;6;2;8;2;45;2;7;1;3;2;45204;3;13;11;18;9;20;2;148;1;19;19;0;0;Jan 36;22
5824;PY946565;TA;4;26;05.02.2021 08:51;"Lernen:
Übungsaufgaben
Lesen
Karteikarten
";6;5;0;4h;6;"Lernen:
Übungsaufgaben
Lesen
Karteikarten
";5;4;4;6;3;1;1;2;1;4;6;0;4h5min;5;2;6;6;6;6;6;"Vorlesung
Nachbereitung
Lernen";4;5;1;3;6;39;2;14;;22;;4;3;39707;2;15;18;20;12;34;2;193;1;19;19;0;0;01. Apr;11
5825;WR312764;TA;4;26;05.02.2021 08:58;Lernzettel Methoden und Sport zwei Vorträge zusammenfassen.;5;6;0h;5h;3;Mit Methoden anfangen. So weit wie ich komme.  Im Zug Sporthandouts überarbeiten und wichtiges rausschreiben.;5;5;6;5;;;;;;;;;;;;;;;;;;;;;;3;33;2;73;2;7;;4;3;;;;;;;;;127;0;11;11;0;0;0.97;1
5826;TC332594;TA;4;26;05.02.2021 08:59;Lernzettel schreiben;6;4;0h;4h;4;12 Uhr - Lernzettel schreiben ;4;4;4;5;1;1;1;6;1;1;1;0h;0h;1;6;1;1;1;1;1;Lernen;1;4;2;6;2;11;;17;1;5;1;2;2;39625;2;8;10;9;3;15;1;89;1;19;19;0;0;02. Jan;50
5829;VR815563;TA;4;26;05.02.2021 09:02;wiederholen + lernen;5;5;1h;6h;5;"Statistik Tutorium
Vertragsrecht Vorlesung
Management wiederholen + weiteres Kapitel
Allgemeine wiederholen
Forschungsmethoden vervollständigen";5;4;5;5;6;4;1;1;3;1;6;1h;5h 30min;5;3;5;5;4;5;-1;;5;5;1;5;3;66;4;20;;8;;3;2;27730;2;11;12;13;4;12;2;162;1;19;19;3;3;01. Apr;24
5831;NK367231;TA;4;26;05.02.2021 09:10;versuchen Vorlesung abzuschließen ;4;5;0h;3h;4;vor der arbeit danach bin ich eh zu müde ;5;5;5;5;3;5;2;1;1;1;5;0h;1h 30min;5;4;5;5;3;4;4;anfangen;1;1;1;1;9;39;;28;2;6;;9;6;48830;6;24;37;20;15;52;5;258;1;19;19;0;0;0.73;4
5839;XN198271;TA;4;26;05.02.2021 09:27;"Lernen 
Test Kognition 
Probeklausuren
Grundbegriffe und Forschungsmethoden durchgehen";4;6;2h;6h;4;"- 10-11.30: Grundbegriffe zusammenfassen 
- 12-13: Test Kognition 
- 14-14.40: Probeklausur Grundbegriffe 
- 15-17.30: Forschungsmeth. lernen --> danach Probeklausur  
- ab 18: Grundbegriffe und Einführung in die EW 
";5;5;4;5;;;;;;;;;;;;;;;;;;;;;;3;69;;370;43;22;;14;207;;;;;;;;;164;0;11;11;0;0;0.33;0
5843;VZ398246;TA;4;26;05.02.2021 09:30;#NAME?;5;5;0h;8h;5;"-10:30-13:00 Karteikarten abtippen
-13-18:00 Lerngruppe
-ab 19:00 Karteikarten abtippen";5;5;5;5;5;1;1;2;1;1;4;0h;7h;4;2;5;5;4;5;5;früh aufstehen, effektiv von 10-20:00 lernen;5;4;1;4;3;102;2;63;;10;;4;2;47495;5;11;15;19;4;32;3;275;1;19;19;0;0;1;6
5844;AN458214;TA;4;26;05.02.2021 09:31;Lernen, Probeklausuren;6;4;0;5h ;4;Lernen, Probeklausur, Serie schauen, raus gehen;4;4;3;6;;;;;;;;;;;;;;;;;;;;;;3;40;;151;9;15;2;32;5;;;;;;;;;229;0;11;11;0;0;0.57;0
5846;YE632525;TA;4;26;05.02.2021 09:34;Management lernen, Vorlesung Vertragsrecht ;5;5;1h;8h;5;Management lernen, Vertragsrecht Vorlesung ;4;4;5;5;5;2;4;3;1;1;6;1h;8h und 30min;5;1;5;3;4;2;4;spaß am lernen haben;5;2;1;2;8;21;2;23;;10;1;4;2;56204;67;13;19;22;5;37;3;173;1;19;19;0;0;01. Aug;12
5847;LH578194;TA;4;26;05.02.2021 09:35;Selbststudium,Präsenzstudium, Klausur-Vorbereitung ;5;5;2h;2h;5;Präzenzstudium,selbststudium,Klausur-Vorbereitung ;4;3;2;5;4;3;1;1;1;1;5;2h;2h;5;1;5;4;5;5;5;Klausur-Vorbereitung ;5;4;1;5;4;24;2;32;;7;2;5;2;32140;7;12;17;14;2;16;1;147;1;19;19;0;0;Jan 34;22
5848;HV926523;TA;4;26;05.02.2021 09:42;Blogeinträge fertigstellen und hochladen, Seminar überstehen;6;4;2;3;1;;1;1;6;6;;;;;;;;;;;;;;;;;;;;;;3;47;;16;3;7;2;4;2;;;;;;;;;84;0;11;11;9;8;Jan 25;18
5849;CZ836922;TA;4;26;05.02.2021 09:43;#NAME?;5;5;0h;5h;5;#NAME?;5;5;6;5;6;1;2;4;3;2;5;0h;5h;5;2;5;4;5;6;6;#NAME?;5;6;1;5;3;11;2;28;;4;;3;2;28002;51;17;12;11;5;17;1;119;1;19;19;0;0;Jan 49;29
5851;TG784124;TA;4;26;05.02.2021 09:46;1 Vorlesung bewältigen, an einem Seminar teilnehmen, Statistik Formelwerk erneuern;5;4;5h;1h;4;"1. Vorlesung 3h
Seminar 2h 
Formelwerk 1h ";4;4;6;5;;;;;;;;;;;;;;;;;;;;;;1;60;;78;369;7;3;2;2;;;;;;;;;155;0;11;11;0;0;Jan 19;23
5852;FK136917;TA;4;26;05.02.2021 09:48;Entwicklung.., Management, Forschungsmethoden;6;6;0;2h;1;...;6;5;2;5;6;1;1;3;1;2;6;0;2h;-1;3;6;5;5;5;-1;...;1;2;1;2;2;39;2;43;5;10;;9;3;31842;3;12;17;18;5;20;1;189;1;19;19;0;0;01. Jan;10
5855;TP544386;TA;4;26;05.02.2021 09:49;Vorlesung, Nacharbeiten, Klausurvorbereitung;5;5;1h 30min;6h;5;Vorlesung (1h 30min), Nacharbeiten (2h), Klausurvorbereitung (4h);4;5;3;5;5;4;1;2;1;2;5;1h 30min;6h;5;2;5;5;5;4;6;Alle studienrelevanten Ziele erreichen;4;4;1;4;6;29;1;53;;19;2;7;10;45937;5;12;16;15;18;26;1;220;1;19;19;0;0;0.98;10
5859;CU525786;TA;4;26;05.02.2021 09:52;Lernen ;5;5;2h;3h;5;"Lernen 
Vorlesung ";4;4;4;5;3;1;1;1;1;3;4;0h;2h;5;3;4;4;6;2;4;Nichts machen ;4;4;1;4;5;8;1;13;;9;1;7;2;23995;2;16;16;13;7;28;2;130;1;19;19;0;0;Jan 45;32
5861;FX545495;TA;4;26;05.02.2021 09:53;Seminar Aspekte des Lehrens u Lernens bearbeiten. Danach Forschungsmethoden Videos erneut ansehen 1 VL. Danach Wiederholung Entwicklungspsychologie danach PAUSE;3;6;1h;4h;5;Heute Morgen das Seminar beenden. Danach 2 Videos von Forschungsmethoden anschauen und wiederholen. Danach Entwicklungspsychologie wiederholen dsnach pause film schsuen ;3;3;6;3;6;5;1;4;1;1;6;1h;4h;6;1;6;6;6;4;6;Weiter so morgen ist Wiederholung geplant;5;3;1;6;5;68;;60;;6;1;4;2;36056;4;19;27;13;4;25;5;243;1;19;19;0;0;01. Jun;12
5864;AA223798;TA;4;26;05.02.2021 09:56;"Lernen für Grundbegriffe und Einführung in die EW
Seminar Grundbegriffe ";5;5;1h 30min;6h;5;"Lernen Vormittag und Nachmittag
Seminar 12:15-13:45 Uhr";4;4;5;5;6;3;1;1;4;4;6;1h;7h;5;1;6;6;6;1;6;Lernen und konzentrieren!;2;4;1;3;2;45;1;86;;17;2;3;2;41059;3;18;15;18;17;40;2;271;1;19;19;0;0;01. Feb;9
5865;AE814737;TA;4;26;05.02.2021 09:56;"Statistik 
Forschung 
LitWi ";5;6;3h ;4h ;5;"12-14: Statistik 
16-17: Forschung 
17:30-18:30: LitWi ";5;4;6;5;6;6;1;5;1;1;3;3h ;2,5h ;3;5;4;4;4;5;4;Längere Einheiten ;4;3;1;6;2;16;1;39;;4;;2;2;35718;3;10;14;14;4;28;2;141;1;19;19;0;0;Jan 52;26
5866;AY454349;TA;4;26;05.02.2021 09:57;konzentriert arbeiten und lernen;4;4;0h;7h;2;"lernen (3h)
pause
lernen (4h)";4;3;5;4;5;1;1;1;1;3;5;0h;8h;3;2;5;5;4;1;5;Konzentriert arbeiten;1;1;1;1;3;23;2;29;5;14;1;7;2;53423;5;24;30;28;20;35;5;233;1;19;19;0;0;0.89;8
5867;ZM874366;TA;4;26;05.02.2021 10:00;Lernen;4;4;0h;2h;4;K;4;4;4;4;4;4;4;4;4;4;5;0h;3h;-1;4;4;4;4;1;1;K;1;1;1;1;3;11;1;9;1;5;1;2;3;31061;3;5;10;12;4;8;1;79;1;19;19;0;0;Jan 96;60
5868;GF886775;TA;4;26;05.02.2021 10:01;"seminar 
morphology";4;5;2h;20 min;6;"seminar 1h 30 min
morphology 30 min";3;1;2;5;2;4;1;2;2;1;4;1h;0h;5;4;4;4;5;1;4;unifrei;1;1;1;2;1;19;;44;;10;2;6;4;26122;3;13;22;24;6;22;2;178;1;19;19;0;0;Jan 17;13
5869;VN755488;TA;4;26;05.02.2021 10:12;Konzentriert lernen;5;5;0min;3h;4;"11 Uhr: 1h lernen
17 Uhr: 1h lernen
21 Uhr: 1h lernen";4;4;5;4;5;1;1;3;1;2;6;0min;3h;5;1;5;5;6;5;6;Konzentriert lernen;6;6;1;6;2;14;2;53;1;9;3;4;6;40856;1;12;13;15;16;43;3;197;1;19;19;0;0;Jan 21;17
5870;LW441239;TA;4;26;05.02.2021 10:12;AT/NT zu ende lernen;5;6;4h;5h;1;"8.15-9.45 Latein
10.15-11.45 Christliche Theologie VL
13.00-14.00 Seminar EP
ab 15.00 AT/NT lernen";4;2;5;5;;;;;;;;;;;;;;;;;;;;;;3;31;1;113;2;10;3;4;4;;;;;;;;;171;0;11;11;0;0;0.96;6
5871;WG879246;TA;4;26;05.02.2021 10:12;"Klausurvorbereitung, Probeklausur Grundbegriffe

";5;3;0h;5h;4;"vormittags Klausurvorbereitung,
14 Uhr Probeklausur Grundbegriffe,
danach Klausurvorbereitung
";4;4;4;4;5;1;1;4;1;1;5;0h;5h;5;3;4;4;5;4;5;Klausurvorbereitung;4;4;1;3;2;122;;133;2;4;3;3;3;43887;2;22;12;35;44;38;1;426;1;19;19;0;0;01. Feb;13
5874;SS198481;TA;4;26;05.02.2021 10:18;zwei neue Inhalte lernen, an Probeklausur teilnehmen ;5;3;30min;4h30min;4;"10.30-14.00 Lernen
14.00-14.30 Probeklausur 
15.30-16.30 Gelerntes wiederholen 
";4;5;4;5;;;;;;;;;;;;;;;;;;;;;;2;155;7;148;3;9;1;3;4;;;;;;;;;332;0;11;11;0;0;0.89;10
5875;PA298545;TA;4;26;05.02.2021 10:22;2 Vorlesungen Allgemeinpsychologie;3;5;0 min;5h;5;"3h - gedächtnis
2h - kumminkation";4;3;6;4;6;1;1;1;1;1;6;0 h;5h;5;2;5;5;5;5;4;"2 Vorlesungen Allgemeinpsychologie 
Hausaufgabe Kognition
Probeklausur Forschungsmethoden
";5;4;1;3;3;33;;25;;8;2;3;3;48202;2;17;22;23;9;114;2;266;1;19;19;0;0;01. Feb;7
5878;QR394599;TA;4;26;05.02.2021 10:33;#NAME?;5;5;0h;6h;6;#NAME?;6;6;1;6;5;1;1;1;1;1;6;0h;6h;5;3;4;5;5;2;6;- 1 Stunde spazieren ;3;4;1;4;2;15;1;31;;4;;2;1;23527;2;7;12;12;2;52;2;145;1;19;19;0;0;Jan 82;44
5883;GD335178;TA;4;26;05.02.2021 10:39;#NAME?;6;6;1h 45min;2h 45min;6;#NAME?;5;4;6;6;4;4;1;1;1;1;6;1h 45min;2h 00min;5;2;5;5;5;5;5;#NAME?;5;5;1;6;5;11;1;27;;6;;3;5;24728;6;18;17;14;10;22;2;147;1;19;19;0;0;Jan 25;19
5884;SR175276;TA;4;26;05.02.2021 10:47;#NAME?;5;4;1h 30min;4h;4;"11.15-12.45: lernen
Pause
14.00-14.15: Probeklausur
Pause
15.15-17.45: lernen 
Pause ";3;3;6;4;3;2;1;5;1;6;4;30min;2h 30min;3;4;4;4;3;2;4;;4;4;1;4;4;14;;79;1;5;1;4;4;40435;5;8;15;11;3;12;2;168;1;19;19;3;3;Jan 49;29
5887;TB885956;TA;4;26;05.02.2021 10:56;Zusammenfassen ;5;5;0h;5h;5;Nichts konkretes ;5;5;3;5;5;1;1;3;1;2;5;0h;6h;5;3;5;5;5;5;5;Wiederholen ;5;5;1;5;3;8;1;17;;7;;1;2;25520;2;9;15;10;15;10;2;102;1;19;19;0;0;01. Aug;50
5889;GR441237;TA;4;26;05.02.2021 10:59;Keine;6;1;1h;2h;1;Keinen;5;5;1;5;1;1;1;1;1;1;-1;1h;3h;-1;1;5;5;5;5;-1;Keine;5;5;1;5;3;8;4;15;2;3;;2;2;44254;3;5;10;15;4;11;1;88;1;19;19;0;0;Jan 89;50
5891;HA634253;TA;4;26;05.02.2021 11:03;Forschungsmethoden lernen;6;4;1h;5h;4;"11-12 Seminar
13-17 Uhr FM lernen
19 Uhr Epsych. lernen bzw. wiederholen";3;3;3;3;6;3;1;4;2;1;6;1h;3h;4;3;6;4;4;4;-1;;3;2;1;3;2;22;;56;1;6;30;3;1;32936;3;12;12;16;6;17;2;161;1;19;19;3;3;Jan 37;22
